;
; These settings are not part recommendations, nor are they an 
; indication these parts are supported on Intel platforms. 
; All parts on this list have NOT been validated, and it is the 
; responsibility of the customer to validate the flash parts used
; on their platform.
;
; Flash parts may change opcodes and architectures so please refer
; to the respective flash datasheet and errata/application note and
; flash vendor to confirm.
;
;Description of fields:
;  1) Display name
;  2) Device ID (2 or 3 bytes)
;  3) Device Size (in bits)
;  4) Block Erase Size (in bytes - 256, 4K, 64K)
;  5) Block Erase Command
;  6) Write Granularity (1 or 64)
;  7) Enable Write Status Register Command (1- True, 0- False)
;  8) Chip Erase Command
;  9) Chip Erase Timeout (in milliseconds)
;
W25X80V,     0xEF3014, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
W25X16BV,    0xEF3015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X32BV,    0xEF3016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25X64BV,    0xEF3017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q80BV,    0xEF4014, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q40BV,    0xEF4013, 0x400000,   0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q16BV,    0xEF4015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q32BV,    0xEF4016, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q64BV,    0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q128BV,   0xEF4018, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q16CV,    0xEF4015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
W25Q64CV,    0xEF4017, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
MX25L8005,   0xC22014, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 80000
MX25L8006E,  0xC22014, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 80000
MX25L8036E,  0xC22014, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 80000
MX25L1605A,  0xC22015, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L1605D,  0xC22015, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L1606E,  0xC22015, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L1636E,  0xC22015, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L3205D,  0xC22016, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L3206E,  0xC22016, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L3225D,  0xC25E16, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L3235D,  0xC25E16, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L3236D,  0xC25E16, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6405D,  0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6445E,  0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6436E,  0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L6406E,  0xC22017, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12805D, 0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12845E, 0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12836E, 0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L12835E, 0xC22018, 0x8000000,  0x1000, 0x20, 64, 0, 0x60, 80000
MX25L25635E, 0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
MX25L25735E, 0xC22019, 0x10000000, 0x1000, 0x20, 64, 0, 0x60, 80000
M25PE10,     0x208011, 0x100000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PE20,     0x208012, 0x200000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PE40,     0x208013, 0x400000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PE80,     0x208014, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PE16,     0x208015, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
M25PX80,     0x207114, 0x800000,   0x1000, 0x20, 64, 0, 0xc7, 80000
M25PX16,     0x207115, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
M25PX32,     0x207116, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
M25PX64,     0x207117, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q016,     0x20BA15, 0x1000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q032,     0x20BA16, 0x2000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q064,     0x20BA17, 0x4000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
N25Q128,     0x20BA18, 0x8000000,  0x1000, 0x20, 64, 0, 0xc7, 80000
AT26DF081,   0x1F4500, 0x800000,   0x1000, 0x20, 1, 0, 0x60,  20000
AT26DF081A,  0x1F4501, 0x800000,   0x1000, 0x20, 64, 0, 0x60, 20000
AT25DF081,   0x1F4502, 0x800000,   0x1000, 0x20, 64, 0, 0X60, 20000
AT26DF161,   0x1F4600, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 35000
AT26DF161A,  0x1F4601, 0x1000000,  0x1000, 0X20, 64, 0, 0x60, 35000
AT25DF161,   0x1F4602, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 35000
AT25DQ161,   0x1F8600, 0x1000000,  0x1000, 0x20, 64, 0, 0x60, 35000
AT25DF321,   0x1F4700, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 60000
AT26DF321,   0x1F4700, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 60000
AT25DF321A,  0x1F4701, 0x2000000,  0x1000, 0x20, 64, 0, 0x60, 60000
AT25DF641,   0x1F4800, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 120000
AT25DF641A,  0x1F4800, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 120000
AT25DQ641,   0x1F8800, 0x4000000,  0x1000, 0x20, 64, 0, 0x60, 120000
SST25VF016B, 0xBF2541, 0x1000000,  0x1000, 0x20, 1, 0, 0x60, 50
